YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,date,flight_depart_delayed,flight_arrive_delayed
2015,9,15,2,DL,741,N338NW,PHL,DTW,1830,1823.0,-7.0,23.0,1846.0,122.0,102.0,68.0,453,1954.0,11.0,2032,2005.0,-27.0,0,0,,,,,,,2015-09-15,0,0
2015,9,21,1,AA,1960,N111US,TPA,CLT,700,659.0,-1.0,27.0,726.0,102.0,111.0,76.0,507,842.0,8.0,842,850.0,8.0,0,0,,,,,,,2015-09-21,0,0
2015,9,25,5,DL,935,N960DL,ATL,PVD,2007,2004.0,-3.0,10.0,2014.0,149.0,125.0,111.0,903,2205.0,4.0,2236,2209.0,-27.0,0,0,,,,,,,2015-09-25,0,0
2015,9,2,3,DL,2012,N963AT,ATL,ORD,728,723.0,-5.0,18.0,741.0,122.0,108.0,87.0,606,808.0,3.0,830,811.0,-19.0,0,0,,,,,,,2015-09-02,0,0
2015,9,25,5,B6,1639,N766JB,LGA,RSW,930,929.0,-1.0,40.0,1009.0,193.0,215.0,170.0,1080,1259.0,5.0,1243,1304.0,21.0,0,0,,21.0,0.0,0.0,0.0,0.0,2015-09-25,0,1
2015,9,21,1,WN,2747,N7731A,LAS,AMA,820,833.0,13.0,16.0,849.0,120.0,112.0,93.0,758,1222.0,3.0,1220,1225.0,5.0,0,0,,,,,,,2015-09-21,0,0
2015,9,15,2,WN,210,N791SW,DAL,MDW,745,744.0,-1.0,15.0,759.0,135.0,127.0,109.0,793,948.0,3.0,1000,951.0,-9.0,0,0,,,,,,,2015-09-15,0,0
2015,9,21,1,WN,2736,N939WN,MDW,AUS,815,814.0,-1.0,8.0,822.0,155.0,130.0,118.0,972,1020.0,4.0,1050,1024.0,-26.0,0,0,,,,,,,2015-09-21,0,0
2015,10,5,1,DL,1119,N913DE,13495,10397,1315,1309.0,-6.0,16.0,1325.0,90.0,89.0,61.0,425,1526.0,12.0,1545,1538.0,-7.0,0,0,,,,,,,2015-10-05,0,0
2015,9,2,3,WN,2743,N411WN,LGA,MDW,1750,1749.0,-1.0,50.0,1839.0,155.0,154.0,100.0,725,1919.0,4.0,1925,1923.0,-2.0,0,0,,,,,,,2015-09-02,0,0
2015,9,11,5,DL,1277,N929DL,ATL,MSY,1550,1547.0,-3.0,15.0,1602.0,94.0,87.0,69.0,425,1611.0,3.0,1624,1614.0,-10.0,0,0,,,,,,,2015-09-11,0,0
2015,9,14,1,AA,1957,N833AW,CLT,MSY,920,915.0,-5.0,14.0,929.0,114.0,112.0,89.0,651,958.0,9.0,1014,1007.0,-7.0,0,0,,,,,,,2015-09-14,0,0
2015,9,8,2,OO,5422,N959SW,SMF,SFO,2040,2036.0,-4.0,18.0,2054.0,50.0,54.0,32.0,86,2126.0,4.0,2130,2130.0,0.0,0,0,,,,,,,2015-09-08,0,0
2015,10,2,5,AA,1513,N426AA,11109,11298,1615,1609.0,-6.0,14.0,1623.0,116.0,105.0,81.0,592,1844.0,10.0,1911,1854.0,-17.0,0,0,,,,,,,2015-10-02,0,0
2015,10,10,6,WN,4334,N354SW,14107,14893,1050,1048.0,-2.0,11.0,1059.0,125.0,112.0,97.0,647,1236.0,4.0,1255,1240.0,-15.0,0,0,,,,,,,2015-10-10,0,0
2015,9,24,4,WN,371,N7711N,DAL,MEM,830,840.0,10.0,7.0,847.0,85.0,71.0,61.0,423,948.0,3.0,955,951.0,-4.0,0,0,,,,,,,2015-09-24,0,0
2015,9,28,1,AA,2272,N555AA,DFW,COS,946,938.0,-8.0,11.0,949.0,112.0,99.0,82.0,592,1011.0,6.0,1038,1017.0,-21.0,0,0,,,,,,,2015-09-28,0,0
2015,9,7,1,EV,4724,N24103,ORD,CAE,1357,1353.0,-4.0,35.0,1428.0,116.0,129.0,89.0,667,1657.0,5.0,1653,1702.0,9.0,0,0,,,,,,,2015-09-07,0,0
2015,9,3,4,B6,1216,N239JB,BUF,BOS,1130,1115.0,-15.0,12.0,1127.0,77.0,77.0,61.0,395,1228.0,4.0,1247,1232.0,-15.0,0,0,,,,,,,2015-09-03,0,0
2015,9,2,3,AA,218,N3FRAA,LAX,SFO,1835,1829.0,-6.0,117.0,2026.0,94.0,173.0,52.0,337,2118.0,4.0,2009,2122.0,73.0,0,0,,73.0,0.0,0.0,0.0,0.0,2015-09-02,0,1
2015,10,11,7,AA,707,N181UW,14100,14107,820,816.0,-4.0,12.0,828.0,307.0,270.0,254.0,2075,942.0,4.0,1027,946.0,-41.0,0,0,,,,,,,2015-10-11,0,0
2015,10,1,4,AA,2459,N3DPAA,12892,11298,1925,1926.0,1.0,15.0,1941.0,183.0,168.0,150.0,1235,11.0,3.0,28,14.0,-14.0,0,0,,,,,,,2015-10-01,0,0
2015,9,4,5,UA,1194,N69813,DEN,MSY,1005,1002.0,-3.0,15.0,1017.0,159.0,143.0,125.0,1062,1322.0,3.0,1344,1325.0,-19.0,0,0,,,,,,,2015-09-04,0,0
2015,9,11,5,DL,420,N707TW,JFK,LAX,1830,1841.0,11.0,35.0,1916.0,376.0,368.0,316.0,2475,2132.0,17.0,2146,2149.0,3.0,0,0,,,,,,,2015-09-11,0,0
2015,10,2,5,AA,314,N3KJAA,13303,13930,2000,1956.0,-4.0,14.0,2010.0,203.0,185.0,159.0,1197,2149.0,12.0,2223,2201.0,-22.0,0,0,,,,,,,2015-10-02,0,0
2015,9,27,7,F9,1017,N925FR,PHL,TPA,1525,1537.0,12.0,13.0,1550.0,169.0,155.0,132.0,920,1802.0,10.0,1814,1812.0,-2.0,0,0,,,,,,,2015-09-27,0,0
2015,9,10,4,AA,1569,N499AA,DFW,DEN,1730,1729.0,-1.0,28.0,1757.0,126.0,128.0,96.0,641,1833.0,4.0,1836,1837.0,1.0,0,0,,,,,,,2015-09-10,0,0
2015,9,18,5,UA,1701,N87527,IAD,TPA,1750,1747.0,-3.0,24.0,1811.0,143.0,139.0,108.0,811,1959.0,7.0,2013,2006.0,-7.0,0,0,,,,,,,2015-09-18,0,0
2015,9,24,4,OO,2878,N955SW,ABQ,LAX,605,610.0,5.0,11.0,621.0,120.0,108.0,93.0,677,654.0,4.0,705,658.0,-7.0,0,0,,,,,,,2015-09-24,0,0
2015,10,7,3,EV,3924,N17984,11618,11066,1720,1818.0,58.0,26.0,1844.0,109.0,107.0,71.0,463,1955.0,10.0,1909,2005.0,56.0,0,0,,48.0,0.0,0.0,8.0,0.0,2015-10-07,1,1
2015,9,7,1,HA,25,N373HA,PDX,HNL,1015,1007.0,-8.0,12.0,1019.0,355.0,344.0,327.0,2603,1246.0,5.0,1310,1251.0,-19.0,0,0,,,,,,,2015-09-07,0,0
2015,9,21,1,NK,630,N619NK,DEN,ORD,1343,1338.0,-5.0,11.0,1349.0,152.0,142.0,108.0,888,1637.0,23.0,1715,1700.0,-15.0,0,0,,,,,,,2015-09-21,0,0
2015,10,7,3,MQ,3289,N653MQ,11193,11298,1915,1905.0,-10.0,10.0,1915.0,159.0,143.0,117.0,812,2012.0,16.0,2054,2028.0,-26.0,0,0,,,,,,,2015-10-07,0,0
2015,9,26,6,AA,1134,N3FRAA,SJU,JFK,855,846.0,-9.0,13.0,859.0,238.0,228.0,209.0,1598,1228.0,6.0,1253,1234.0,-19.0,0,0,,,,,,,2015-09-26,0,0
2015,9,23,3,UA,401,N426UA,IAH,EWR,845,901.0,16.0,19.0,920.0,229.0,203.0,179.0,1400,1319.0,5.0,1334,1324.0,-10.0,0,0,,,,,,,2015-09-23,1,0
2015,9,10,4,WN,292,N969WN,SJC,SAN,1245,1247.0,2.0,10.0,1257.0,80.0,72.0,59.0,417,1356.0,3.0,1405,1359.0,-6.0,0,0,,,,,,,2015-09-10,0,0
2015,9,23,3,AA,1909,N833AW,CLT,RDU,1120,1117.0,-3.0,12.0,1129.0,50.0,46.0,30.0,130,1159.0,4.0,1210,1203.0,-7.0,0,0,,,,,,,2015-09-23,0,0
2015,9,15,2,WN,3126,N560WN,RDU,TPA,1700,1713.0,13.0,7.0,1720.0,105.0,105.0,93.0,587,1853.0,5.0,1845,1858.0,13.0,0,0,,,,,,,2015-09-15,0,0
2015,10,10,6,HA,185,N486HA,13830,12173,1158,1151.0,-7.0,6.0,1157.0,38.0,36.0,22.0,100,1219.0,8.0,1236,1227.0,-9.0,0,0,,,,,,,2015-10-10,0,0
2015,9,9,3,AA,1891,N708UW,DCA,CLT,1515,1526.0,11.0,20.0,1546.0,94.0,99.0,65.0,331,1651.0,14.0,1649,1705.0,16.0,0,0,,5.0,0.0,11.0,0.0,0.0,2015-09-09,0,1
2015,9,3,4,AA,2357,N514AA,DFW,MEM,1830,1824.0,-6.0,11.0,1835.0,99.0,82.0,65.0,431,1940.0,6.0,2009,1946.0,-23.0,0,0,,,,,,,2015-09-03,0,0
2015,10,10,6,AA,261,N3EJAA,13930,13204,1500,1510.0,10.0,9.0,1519.0,163.0,141.0,124.0,1005,1823.0,8.0,1843,1831.0,-12.0,0,0,,,,,,,2015-10-10,0,0
2015,9,3,4,AA,2343,N3BVAA,DFW,PIT,2005,2000.0,-5.0,11.0,2011.0,167.0,152.0,136.0,1067,2327.0,5.0,2352,2332.0,-20.0,0,0,,,,,,,2015-09-03,0,0
2015,8,31,1,UA,455,N431UA,AUS,SFO,1715,1706.0,-9.0,13.0,1719.0,227.0,217.0,201.0,1504,1840.0,3.0,1902,1843.0,-19.0,0,0,,,,,,,2015-08-31,0,0
2015,9,19,6,WN,1336,N733SA,DAL,PHX,1105,1104.0,-1.0,15.0,1119.0,150.0,149.0,131.0,879,1130.0,3.0,1135,1133.0,-2.0,0,0,,,,,,,2015-09-19,0,0
2015,9,17,4,EV,4223,N11539,MOB,IAH,630,625.0,-5.0,28.0,653.0,93.0,116.0,78.0,427,811.0,10.0,803,821.0,18.0,0,0,,18.0,0.0,0.0,0.0,0.0,2015-09-17,0,1
2015,9,23,3,WN,185,N264LV,ATL,BWI,900,855.0,-5.0,15.0,910.0,110.0,99.0,80.0,577,1030.0,4.0,1050,1034.0,-16.0,0,0,,,,,,,2015-09-23,0,0
2015,9,20,7,WN,534,N761RR,SLC,MDW,1655,1652.0,-3.0,8.0,1700.0,185.0,169.0,154.0,1259,2034.0,7.0,2100,2041.0,-19.0,0,0,,,,,,,2015-09-20,0,0
2015,9,3,4,MQ,3365,N539MQ,ORD,SYR,821,820.0,-1.0,10.0,830.0,105.0,96.0,82.0,607,1052.0,4.0,1106,1056.0,-10.0,0,0,,,,,,,2015-09-03,0,0
2015,9,24,4,WN,2027,N922WN,SAT,ATL,600,556.0,-4.0,10.0,606.0,145.0,133.0,114.0,874,900.0,9.0,925,909.0,-16.0,0,0,,,,,,,2015-09-24,0,0
2015,9,5,6,WN,5281,N8312C,BNA,DEN,1245,1241.0,-4.0,9.0,1250.0,165.0,153.0,139.0,1014,1409.0,5.0,1430,1414.0,-16.0,0,0,,,,,,,2015-09-05,0,0
2015,9,14,1,AA,1770,N702UW,CLT,ORF,919,914.0,-5.0,26.0,940.0,63.0,80.0,48.0,290,1028.0,6.0,1022,1034.0,12.0,0,0,,,,,,,2015-09-14,0,0
2015,9,15,2,EV,6017,N14543,PIA,ORD,517,510.0,-7.0,10.0,520.0,53.0,73.0,51.0,130,611.0,12.0,610,623.0,13.0,0,0,,,,,,,2015-09-15,0,0
2015,9,14,1,UA,590,N804UA,PIT,ORD,1045,1037.0,-8.0,10.0,1047.0,103.0,78.0,65.0,413,1052.0,3.0,1128,1055.0,-33.0,0,0,,,,,,,2015-09-14,0,0
2015,9,21,1,AA,839,N508AY,PHL,MCO,2050,2044.0,-6.0,23.0,2107.0,151.0,154.0,125.0,861,2312.0,6.0,2321,2318.0,-3.0,0,0,,,,,,,2015-09-21,0,0
2015,9,4,5,EV,4399,N13124,IAH,OKC,1300,1256.0,-4.0,30.0,1326.0,91.0,98.0,62.0,395,1428.0,6.0,1431,1434.0,3.0,0,0,,,,,,,2015-09-04,0,0
2015,9,17,4,AA,1215,N3LVAA,SNA,ORD,700,654.0,-6.0,29.0,723.0,245.0,267.0,208.0,1726,1251.0,30.0,1305,1321.0,16.0,0,0,,16.0,0.0,0.0,0.0,0.0,2015-09-17,0,1
2015,10,4,7,DL,927,N912DN,13487,13342,1736,1728.0,-8.0,18.0,1746.0,68.0,68.0,43.0,297,1829.0,7.0,1844,1836.0,-8.0,0,0,,,,,,,2015-10-04,0,0
2015,9,30,3,AA,454,N179UW,PHX,SLC,2015,2044.0,29.0,12.0,2056.0,101.0,87.0,71.0,507,2307.0,4.0,2256,2311.0,15.0,0,0,,0.0,0.0,4.0,11.0,0.0,2015-09-30,1,0
2015,9,14,1,VX,490,N623VA,LAX,LAS,2030,2024.0,-6.0,8.0,2032.0,65.0,60.0,46.0,236,2118.0,6.0,2135,2124.0,-11.0,0,0,,,,,,,2015-09-14,0,0
2015,9,26,6,WN,1212,N636WN,MCO,BUF,1510,1508.0,-2.0,13.0,1521.0,150.0,142.0,125.0,1011,1726.0,4.0,1740,1730.0,-10.0,0,0,,,,,,,2015-09-26,0,0
2015,9,5,6,UA,1605,N57439,TPA,DEN,829,820.0,-9.0,12.0,832.0,236.0,224.0,196.0,1506,948.0,16.0,1025,1004.0,-21.0,0,0,,,,,,,2015-09-05,0,0
2015,10,6,2,AS,92,N552AS,10299,14747,1430,1436.0,6.0,8.0,1444.0,195.0,198.0,177.0,1448,1841.0,13.0,1845,1854.0,9.0,0,0,,,,,,,2015-10-06,0,0
2015,10,6,2,DL,719,N985DL,13495,12953,1718,1715.0,-3.0,11.0,1726.0,182.0,182.0,157.0,1183,2103.0,14.0,2120,2117.0,-3.0,0,0,,,,,,,2015-10-06,0,0
2015,9,17,4,WN,427,N383SW,DEN,SDF,1725,1751.0,26.0,9.0,1800.0,145.0,130.0,115.0,1024,2155.0,6.0,2150,2201.0,11.0,0,0,,,,,,,2015-09-17,1,0
2015,10,10,6,OO,4476,N936SW,13487,11637,1527,1525.0,-2.0,11.0,1536.0,65.0,58.0,43.0,223,1619.0,4.0,1632,1623.0,-9.0,0,0,,,,,,,2015-10-10,0,0
2015,9,21,1,WN,968,N909WN,ATL,FLL,1600,1557.0,-3.0,10.0,1607.0,110.0,99.0,86.0,581,1733.0,3.0,1750,1736.0,-14.0,0,0,,,,,,,2015-09-21,0,0
2015,9,1,2,NK,350,N639NK,MYR,ACY,2115,2104.0,-11.0,8.0,2112.0,80.0,73.0,63.0,466,2215.0,2.0,2235,2217.0,-18.0,0,0,,,,,,,2015-09-01,0,0
2015,9,28,1,UA,1520,N36472,DEN,BOS,1244,1243.0,-1.0,12.0,1255.0,240.0,229.0,211.0,1754,1826.0,6.0,1844,1832.0,-12.0,0,0,,,,,,,2015-09-28,0,0
2015,10,1,4,UA,1448,N53442,12266,13256,1927,1959.0,32.0,11.0,2010.0,75.0,62.0,46.0,316,2056.0,5.0,2042,2101.0,19.0,0,0,,0.0,0.0,19.0,0.0,0.0,2015-10-01,1,1
2015,9,2,3,OO,4478,N549CA,ORD,SLC,745,743.0,-2.0,15.0,758.0,212.0,216.0,193.0,1250,1011.0,8.0,1017,1019.0,2.0,0,0,,,,,,,2015-09-02,0,0
2015,9,17,4,WN,1050,N763SW,MDW,ORF,1340,1339.0,-1.0,19.0,1358.0,120.0,124.0,100.0,704,1638.0,5.0,1640,1643.0,3.0,0,0,,,,,,,2015-09-17,0,0
2015,9,22,2,DL,1151,N3746H,MSP,SFO,1140,1139.0,-1.0,13.0,1152.0,242.0,227.0,210.0,1589,1322.0,4.0,1342,1326.0,-16.0,0,0,,,,,,,2015-09-22,0,0
2015,9,28,1,AA,632,N182UW,PHX,JFK,2135,2138.0,3.0,11.0,2149.0,285.0,271.0,254.0,2153,503.0,6.0,520,509.0,-11.0,0,0,,,,,,,2015-09-28,0,0
2015,9,9,3,UA,1669,N79279,EWR,DEN,1025,1024.0,-1.0,14.0,1038.0,264.0,235.0,215.0,1605,1213.0,6.0,1249,1219.0,-30.0,0,0,,,,,,,2015-09-09,0,0
2015,9,1,2,EV,5916,N16987,ORD,MOB,1910,1904.0,-6.0,19.0,1923.0,133.0,130.0,106.0,779,2109.0,5.0,2123,2114.0,-9.0,0,0,,,,,,,2015-09-01,0,0
2015,9,4,5,DL,2128,N530US,DTW,MCO,1024,1022.0,-2.0,19.0,1041.0,157.0,153.0,123.0,957,1244.0,11.0,1301,1255.0,-6.0,0,0,,,,,,,2015-09-04,0,0
2015,10,7,3,AS,616,N309AS,14747,12889,1855,1849.0,-6.0,13.0,1902.0,141.0,127.0,109.0,867,2051.0,5.0,2116,2056.0,-20.0,0,0,,,,,,,2015-10-07,0,0
2015,9,22,2,WN,289,N411WN,HOU,MSY,1705,1705.0,0.0,8.0,1713.0,65.0,57.0,45.0,302,1758.0,4.0,1810,1802.0,-8.0,0,0,,,,,,,2015-09-22,0,0
2015,9,22,2,OO,6537,N939SW,SLC,DEN,735,729.0,-6.0,14.0,743.0,94.0,89.0,65.0,391,848.0,10.0,909,858.0,-11.0,0,0,,,,,,,2015-09-22,0,0
2015,9,29,2,EV,5781,N11109,IAH,LFT,1305,1259.0,-6.0,25.0,1324.0,61.0,88.0,33.0,201,1357.0,30.0,1406,1427.0,21.0,0,0,,21.0,0.0,0.0,0.0,0.0,2015-09-29,0,1
2015,9,27,7,WN,1955,N463WN,SFO,LAS,955,952.0,-3.0,11.0,1003.0,85.0,80.0,64.0,414,1107.0,5.0,1120,1112.0,-8.0,0,0,,,,,,,2015-09-27,0,0
2015,9,30,3,WN,467,N737JW,ATL,BWI,1745,1800.0,15.0,22.0,1822.0,115.0,115.0,89.0,577,1951.0,4.0,1940,1955.0,15.0,0,0,,0.0,0.0,3.0,12.0,0.0,2015-09-30,0,0
2015,10,9,5,UA,1004,N33203,12892,12402,1719,1723.0,4.0,12.0,1735.0,334.0,306.0,290.0,2449,1925.0,4.0,1953,1929.0,-24.0,0,0,,,,,,,2015-10-09,0,0
2015,9,13,7,OO,6235,N746SK,SEA,SFO,715,708.0,-7.0,20.0,728.0,149.0,131.0,104.0,679,912.0,7.0,944,919.0,-25.0,0,0,,,,,,,2015-09-13,0,0
2015,9,25,5,AA,548,N669AW,PHX,MKE,1859,1854.0,-5.0,20.0,1914.0,203.0,209.0,185.0,1460,19.0,4.0,22,23.0,1.0,0,0,,,,,,,2015-09-25,0,0
2015,9,1,2,MQ,3096,N833MQ,CMI,ORD,1441,1432.0,-9.0,9.0,1441.0,61.0,54.0,36.0,135,1517.0,9.0,1542,1526.0,-16.0,0,0,,,,,,,2015-09-01,0,0
2015,10,4,7,B6,1447,N304JB,12197,15304,839,828.0,-11.0,14.0,842.0,167.0,190.0,164.0,1032,1126.0,12.0,1126,1138.0,12.0,0,0,,,,,,,2015-10-04,0,0
2015,9,5,6,AA,799,N939UW,PHL,MCO,1600,1602.0,2.0,21.0,1623.0,158.0,147.0,116.0,861,1819.0,10.0,1838,1829.0,-9.0,0,0,,,,,,,2015-09-05,0,0
2015,10,8,4,EV,5602,N852AS,12951,10397,1725,1743.0,18.0,14.0,1757.0,100.0,92.0,70.0,503,2007.0,8.0,2005,2015.0,10.0,0,0,,,,,,,2015-10-08,1,0
2015,9,27,7,WN,1027,N912WN,MCI,IND,2015,2010.0,-5.0,6.0,2016.0,80.0,71.0,60.0,451,2216.0,5.0,2235,2221.0,-14.0,0,0,,,,,,,2015-09-27,0,0
2015,10,1,4,OO,5202,N494CA,11292,13486,1428,1431.0,3.0,14.0,1445.0,128.0,114.0,96.0,679,1621.0,4.0,1636,1625.0,-11.0,0,0,,,,,,,2015-10-01,0,0
2015,9,6,7,EV,4384,N14186,IAH,AEX,1027,1011.0,-16.0,12.0,1023.0,56.0,48.0,33.0,190,1056.0,3.0,1123,1059.0,-24.0,0,0,,,,,,,2015-09-06,0,0
2015,9,17,4,NK,1064,N515NK,MCO,CLE,1050,1045.0,-5.0,18.0,1103.0,146.0,146.0,120.0,895,1303.0,8.0,1316,1311.0,-5.0,0,0,,,,,,,2015-09-17,0,0
2015,9,7,1,EV,4120,N14991,LGA,CLE,827,818.0,-9.0,17.0,835.0,110.0,83.0,61.0,419,936.0,5.0,1017,941.0,-36.0,0,0,,,,,,,2015-09-07,0,0
2015,9,24,4,WN,793,N437WN,MCI,MKE,1610,1605.0,-5.0,10.0,1615.0,85.0,79.0,66.0,436,1721.0,3.0,1735,1724.0,-11.0,0,0,,,,,,,2015-09-24,0,0
2015,9,6,7,DL,1830,N371DA,SLC,JFK,1710,1726.0,16.0,16.0,1742.0,269.0,264.0,237.0,1990,2339.0,11.0,2339,2350.0,11.0,0,0,,,,,,,2015-09-06,1,0
2015,10,10,6,DL,1159,N961AT,10397,10792,1325,1322.0,-3.0,12.0,1334.0,119.0,118.0,102.0,712,1516.0,4.0,1524,1520.0,-4.0,0,0,,,,,,,2015-10-10,0,0
2015,9,2,3,WN,1683,N794SW,OMA,DEN,1915,1909.0,-6.0,6.0,1915.0,95.0,81.0,70.0,472,1925.0,5.0,1950,1930.0,-20.0,0,0,,,,,,,2015-09-02,0,0
2015,9,24,4,DL,1605,N934AT,HSV,ATL,1408,1400.0,-8.0,21.0,1421.0,65.0,54.0,27.0,151,1548.0,6.0,1613,1554.0,-19.0,0,0,,,,,,,2015-09-24,0,0
2015,9,25,5,AS,513,N532AS,SNA,SEA,1230,1224.0,-6.0,10.0,1234.0,158.0,142.0,124.0,978,1438.0,8.0,1508,1446.0,-22.0,0,0,,,,,,,2015-09-25,0,0
2015,9,22,2,F9,1467,N906FR,ATL,MSP,610,607.0,-3.0,14.0,621.0,160.0,149.0,126.0,907,727.0,9.0,750,736.0,-14.0,0,0,,,,,,,2015-09-22,0,0
2015,10,9,5,AA,225,N5FDAA,12892,11298,930,926.0,-4.0,23.0,949.0,191.0,200.0,171.0,1235,1440.0,6.0,1441,1446.0,5.0,0,0,,,,,,,2015-10-09,0,0
2015,9,15,2,DL,1836,N306DQ,CHS,ATL,730,729.0,-1.0,9.0,738.0,76.0,60.0,46.0,259,824.0,5.0,846,829.0,-17.0,0,0,,,,,,,2015-09-15,0,0
2015,9,7,1,DL,1861,N927AT,ATL,LIT,1350,1354.0,4.0,15.0,1409.0,99.0,81.0,61.0,453,1410.0,5.0,1429,1415.0,-14.0,0,0,,,,,,,2015-09-07,0,0
2015,9,12,6,WN,4302,N219WN,RNO,PHX,620,616.0,-4.0,13.0,629.0,105.0,101.0,82.0,601,751.0,6.0,805,757.0,-8.0,0,0,,,,,,,2015-09-12,0,0
2015,10,8,4,WN,2692,N441WN,13232,11996,1500,1458.0,-2.0,6.0,1504.0,95.0,81.0,70.0,562,1714.0,5.0,1735,1719.0,-16.0,0,0,,,,,,,2015-10-08,0,0
2015,9,14,1,DL,2250,N981AT,GSP,ATL,1200,1159.0,-1.0,22.0,1221.0,74.0,63.0,36.0,153,1257.0,5.0,1314,1302.0,-12.0,0,0,,,,,,,2015-09-14,0,0
2015,10,2,5,DL,108,N582NW,13204,10397,1625,1624.0,-1.0,13.0,1637.0,101.0,84.0,60.0,404,1737.0,11.0,1806,1748.0,-18.0,0,0,,,,,,,2015-10-02,0,0
2015,10,6,2,WN,2939,N724SW,14107,14908,630,628.0,-2.0,10.0,638.0,80.0,70.0,56.0,338,734.0,4.0,750,738.0,-12.0,0,0,,,,,,,2015-10-06,0,0
2015,9,11,5,AA,1052,N4YAAA,ORD,RDU,1157,1157.0,0.0,14.0,1211.0,124.0,111.0,93.0,646,1444.0,4.0,1501,1448.0,-13.0,0,0,,,,,,,2015-09-11,0,0
2015,9,14,1,UA,1197,N75858,SFO,IAH,45,47.0,2.0,13.0,100.0,215.0,202.0,182.0,1635,602.0,7.0,620,609.0,-11.0,0,0,,,,,,,2015-09-14,0,0
2015,9,1,2,MQ,3321,N670MQ,ROW,DFW,1639,1629.0,-10.0,13.0,1642.0,95.0,99.0,74.0,435,1856.0,12.0,1914,1908.0,-6.0,0,0,,,,,,,2015-09-01,0,0
2015,9,4,5,WN,2870,N620SW,LAS,MAF,1145,1140.0,-5.0,13.0,1153.0,125.0,117.0,102.0,795,1535.0,2.0,1550,1537.0,-13.0,0,0,,,,,,,2015-09-04,0,0
2015,9,22,2,UA,442,N435UA,ORD,BDL,1727,1722.0,-5.0,11.0,1733.0,128.0,122.0,105.0,783,2018.0,6.0,2035,2024.0,-11.0,0,0,,,,,,,2015-09-22,0,0
